Nom,Insee,cp,arr,Canton,epci,pop,lat,long,alti,surf
Allineuc,22001,22460,4,Guerlédan,CC Loudéac Communauté - Bretagne Centre,592,48.31194,-2.8725,180,24.35
Andel,22002,22400,4,Lamballe-Armor,CA Lamballe Terre et Mer,1170,48.49139,-2.56556,80,12.39
Aucaleuc,22003,22100,1,Dinan,CA Dinan Agglomération,953,48.45583,-2.12694,100,6.51
Beaussais-sur-Mer,22209,22650,1,Pleslin-Trigavou,CC Côte d'Emeraude,4379,48.58083,-2.13917,24,36.07
Bégard,22004,22140,2,Bégard,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,4862,48.63,-3.30028,120,36.5
Belle-Isle-en-Terre,22005,22810,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,1031,48.54417,-3.39472,101,14.29
Berhet,22006,22140,3,Bégard,CA Lannion-Trégor Communauté,272,48.69611,-3.30306,80,3.37
Binic-Étables-sur-Mer,22055,22680,4,Plouha,CA Saint-Brieuc Armor Agglomération,7020,48.62778,-2.83361,70,9.32
Bobital,22008,22100,1,Lanvallay,CA Dinan Agglomération,1143,48.41306,-2.10194,90,5.06
le Bodéo,22009,22320,4,Plaintel,CA Saint-Brieuc Armor Agglomération,178,48.3225,-2.93556,193,10.2
Bon Repos sur Blavet,22107,22570,2,Rostrenen,CC du Kreiz-Breizh (CCKB),1237,48.24222,-3.12194,200,24.91
Boqueho,22011,22170,2,Plélo,CC Leff Armor Communauté,1054,48.4825,-2.95917,170,27.71
la Bouillie,22012,22240,4,Pléneuf-Val-André,CA Lamballe Terre et Mer,845,48.57417,-2.43333,100,10.92
Bourbriac,22013,22390,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,2126,48.47556,-3.18694,200,73.19
Bourseul,22014,22130,1,Plancoët,CA Dinan Agglomération,1247,48.48778,-2.255,60,22.49
Bréhand,22015,22510,4,Plénée-Jugon,CA Lamballe Terre et Mer,1695,48.40278,-2.57278,82,25.98
Brélidy,22018,22140,2,Bégard,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,316,48.6625,-3.21778,70,8.3
Bringolo,22019,22170,2,Plélo,CC Leff Armor Communauté,510,48.57389,-3.00056,120,9.4
Broons,22020,22250,1,Broons,CA Dinan Agglomération,2931,48.31722,-2.26083,90,35.74
Brusvily,22021,22100,1,Lanvallay,CA Dinan Agglomération,1155,48.39167,-2.12472,115,12.19
Bulat-Pestivien,22023,22160,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,409,48.43,-3.33139,260,31.74
Calanhel,22024,22160,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,236,48.43583,-3.48194,250,14.72
Callac,22025,22160,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,2274,48.40611,-3.42444,160,33.41
Calorguen,22026,22100,1,Lanvallay,CA Dinan Agglomération,722,48.40917,-2.02778,50,8.57
Camlez,22028,22450,3,Tréguier,CA Lannion-Trégor Communauté,832,48.77667,-3.30167,70,11.73
Canihuel,22029,22480,2,Rostrenen,CC du Kreiz-Breizh (CCKB),348,48.34028,-3.10556,200,32.33
Caouënnec-Lanvézéac,22030,22300,3,Bégard,CA Lannion-Trégor Communauté,904,48.70333,-3.375,90,7.22
Carnoët,22031,22160,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,667,48.3675,-3.52,200,42.12
Caulnes,22032,22350,1,Broons,CA Dinan Agglomération,2506,48.28861,-2.15306,75,32.55
Caurel,22033,22530,4,Guerlédan,CC Loudéac Communauté - Bretagne Centre,355,48.21611,-3.03444,187,13.16
Cavan,22034,22140,3,Bégard,CA Lannion-Trégor Communauté,1548,48.67139,-3.34528,96,16.82
les Champs-Géraux,22035,22630,1,Lanvallay,CA Dinan Agglomération,1053,48.41611,-1.96861,38,19.74
la Chapelle-Blanche,22036,22350,1,Broons,CA Dinan Agglomération,211,48.26694,-2.14194,70,8.05
la Chapelle-Neuve,22037,22160,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,403,48.4625,-3.41889,250,24.15
Châtelaudren-Plouagat,22206,22170,2,Plélo,CC Leff Armor Communauté,3968,48.53556,-2.99861,140,32.44
la Chèze,22039,22210,4,Loudéac,CC Loudéac Communauté - Bretagne Centre,572,48.13167,-2.65556,70,2.59
Coadout,22040,22970,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,538,48.51805,-3.18861,150,9.88
Coatascorn,22041,22140,3,Bégard,CA Lannion-Trégor Communauté,251,48.67444,-3.24917,73,8.13
Coatréven,22042,22450,3,Tréguier,CA Lannion-Trégor Communauté,493,48.76778,-3.34194,100,9.37
Coëtmieux,22044,22400,4,Lamballe-Armor,CA Lamballe Terre et Mer,1840,48.49139,-2.59972,60,8.21
Cohiniac,22045,22800,2,Plélo,CC Leff Armor Communauté,397,48.46194,-2.94778,160,12.56
Corlay,22047,22320,4,Guerlédan,CC Loudéac Communauté - Bretagne Centre,913,48.31694,-3.05833,180,14.13
Corseul,22048,22130,1,Plancoët,CA Dinan Agglomération,2270,48.48139,-2.16694,80,42.49
Créhen,22049,22130,1,Plancoët,CA Dinan Agglomération,1664,48.54667,-2.21167,40,18.46
Dinan,22050,22100,1,Dinan,CA Dinan Agglomération,14966,48.45222,-2.04722,69,3.97
Duault,22052,22160,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,388,48.36167,-3.43611,165,21.87
Éréac,22053,22250,4,Broons,CA Lamballe Terre et Mer,676,48.27417,-2.34583,140,21.49
Erquy,22054,22430,4,Pléneuf-Val-André,CA Lamballe Terre et Mer,3929,48.63028,-2.46028,11,26.58
Évran,22056,22630,1,Lanvallay,CA Dinan Agglomération,1787,48.38222,-1.97944,20,24.3
le Faouët,22057,22290,2,Plouha,CC Leff Armor Communauté,410,48.68417,-3.0725,70,7.7
Fréhel,22179,22240,1,Pléneuf-Val-André,CA Dinan Agglomération,1611,48.62889,-2.3625,72,33.7
le Fœil,22059,22800,4,Plélo,CA Saint-Brieuc Armor Agglomération,1382,48.42778,-2.91417,199,21.84
Gausson,22060,22150,4,Guerlédan,CC Loudéac Communauté - Bretagne Centre,648,48.29944,-2.75167,200,16.7
Glomel,22061,22110,2,Rostrenen,CC du Kreiz-Breizh (CCKB),1412,48.22222,-3.39833,230,79.27
Gomené,22062,22230,4,Broons,CC Loudéac Communauté - Bretagne Centre,549,48.17389,-2.48556,200,25.65
Gommenec'h,22063,22290,2,Plouha,CC Leff Armor Communauté,552,48.64139,-3.04806,80,12.22
Gouarec,22064,22570,2,Rostrenen,CC du Kreiz-Breizh (CCKB),912,48.22806,-3.17833,131,6.64
Goudelin,22065,22290,2,Guingamp,CC Leff Armor Communauté,1716,48.60444,-3.01806,90,23.29
Grâce-Uzel,22068,22460,4,Guerlédan,CC Loudéac Communauté - Bretagne Centre,429,48.24167,-2.79917,190,8.14
Grâces,22067,22200,2,Guingamp,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,2588,48.55667,-3.18528,130,14.17
Guenroc,22069,22350,1,Broons,CA Dinan Agglomération,217,48.31778,-2.07444,99,7.57
Guerlédan,22158,22530,4,Guerlédan,CC Loudéac Communauté - Bretagne Centre,2528,48.20194,-2.98583,150,31.28
Guingamp,22070,22200,2,Guingamp,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,7127,48.56111,-3.1475,100,3.48
Guitté,22071,22350,1,Broons,CA Dinan Agglomération,711,48.29694,-2.09417,80,15.07
Gurunhuel,22072,22390,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,406,48.51583,-3.29861,290,19.97
la Harmoye,22073,22320,4,Plélo,CA Saint-Brieuc Armor Agglomération,379,48.33639,-2.96,191,17.89
le Haut-Corlay,22074,22320,4,Guerlédan,CC Loudéac Communauté - Bretagne Centre,650,48.32361,-3.05667,200,25.96
Hémonstoir,22075,22600,4,Guerlédan,CC Loudéac Communauté - Bretagne Centre,708,48.16028,-2.82833,110,14.13
Hénanbihen,22076,22550,4,Pléneuf-Val-André,CA Lamballe Terre et Mer,1429,48.56055,-2.37333,67,31.88
Hénansal,22077,22400,4,Lamballe-Armor,CA Lamballe Terre et Mer,1263,48.54111,-2.43222,90,29.23
Hénon,22079,22150,4,Plaintel,CA Lamballe Terre et Mer,2315,48.38472,-2.68194,145,42.18
Hillion,22081,22120,4,Trégueux,CA Saint-Brieuc Armor Agglomération,4304,48.51389,-2.66722,30,24.7
le Hinglé,22082,22100,1,Lanvallay,CA Dinan Agglomération,912,48.39278,-2.07833,70,3.44
Île-de-Bréhat,22016,22870,4,Paimpol,,427,48.84417,-3.0,25,3.48
Illifaut,22083,22230,4,Broons,CC Loudéac Communauté - Bretagne Centre,688,48.145,-2.34611,116,26.97
Jugon-les-Lacs,22084,22270,4,Plénée-Jugon,CA Lamballe Terre et Mer,2528,48.40889,-2.32111,60,26.81
Kerbors,22085,22610,3,Tréguier,CA Lannion-Trégor Communauté,286,48.82806,-3.185,40,7.04
Kerfot,22086,22500,2,Paimpol,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,634,48.73722,-3.02667,80,5.86
Kergrist-Moëlou,22087,22110,2,Rostrenen,CC du Kreiz-Breizh (CCKB),636,48.31,-3.31722,260,47.24
Kerien,22088,22480,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,247,48.39,-3.21111,261,22.04
Kermaria-Sulard,22090,22450,3,Perros-Guirec,CA Lannion-Trégor Communauté,1106,48.77083,-3.37056,90,9.27
Kermoroc'h,22091,22140,2,Bégard,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,429,48.62361,-3.205,110,6.19
Kerpert,22092,22480,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,269,48.37472,-3.13167,260,21.35
La Roche-Jaudy,22264,22450,3,Tréguier,CA Lannion-Trégor Communauté,2643,48.74639,-3.26111,40,1.82
Lamballe-Armor,22093,22400,4,Lamballe-Armor,CA Lamballe Terre et Mer,16911,48.46722,-2.51444,55,77.51
Lancieux,22094,22770,1,Pleslin-Trigavou,CC Côte d'Emeraude,1602,48.60944,-2.14944,21,6.54
Landebaëron,22095,22140,2,Bégard,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,169,48.63583,-3.20944,80,6.44
Landébia,22096,22130,1,Plancoët,CA Dinan Agglomération,442,48.51528,-2.33556,60,3.54
la Landec,22097,22980,1,Plancoët,CA Dinan Agglomération,749,48.43472,-2.17667,100,7.76
Landéhen,22098,22400,4,Lamballe-Armor,CA Lamballe Terre et Mer,1445,48.42944,-2.53833,90,12.15
Lanfains,22099,22800,4,Plélo,CA Saint-Brieuc Armor Agglomération,1091,48.35333,-2.91389,287,22.48
Langoat,22101,22450,3,Tréguier,CA Lannion-Trégor Communauté,1161,48.75083,-3.27972,30,18.79
Langrolay-sur-Rance,22103,22490,1,Pleslin-Trigavou,CA Dinan Agglomération,992,48.55528,-2.00333,50,5.32
Languédias,22104,22980,1,Plancoët,CA Dinan Agglomération,558,48.38861,-2.21028,95,8.77
Languenan,22105,22130,1,Plancoët,CA Dinan Agglomération,1160,48.51139,-2.12528,101,16.08
Langueux,22106,22360,4,Trégueux,CA Saint-Brieuc Armor Agglomération,7947,48.495,-2.71361,100,9.21
Lanleff,22108,22290,2,Paimpol,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,121,48.69333,-3.045,45,2.21
Lanloup,22109,22580,2,Paimpol,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,251,48.71167,-2.96583,60,2.56
Lanmérin,22110,22300,3,Tréguier,CA Lannion-Trégor Communauté,573,48.74,-3.35,40,4.23
Lanmodez,22111,22610,3,Tréguier,CA Lannion-Trégor Communauté,400,48.84,-3.105,50,4.25
Lannebert,22112,22290,2,Plouha,CC Leff Armor Communauté,431,48.65805,-3.00861,70,7.0
Lannion,22113,22300,3,Lannion,CA Lannion-Trégor Communauté,20525,48.73389,-3.45667,10,47.99
Lanrelas,22114,22250,4,Broons,CA Lamballe Terre et Mer,866,48.25083,-2.29,100,29.98
Lanrivain,22115,22480,2,Rostrenen,CC du Kreiz-Breizh (CCKB),465,48.34639,-3.21222,250,37.61
Lanrodec,22116,22170,2,Plélo,CC Leff Armor Communauté,1380,48.51778,-3.03028,200,31.94
Lantic,22117,22410,4,Plouha,CA Saint-Brieuc Armor Agglomération,1799,48.60667,-2.88111,68,15.99
Lanvallay,22118,22100,1,Lanvallay,CA Dinan Agglomération,4235,48.45639,-2.02667,67,14.82
Lanvellec,22119,22420,3,Plestin-les-Grèves,CA Lannion-Trégor Communauté,602,48.61945,-3.53806,108,18.88
Lanvollon,22121,22290,2,Plouha,CC Leff Armor Communauté,1907,48.63055,-2.98472,90,5.04
Laurenan,22122,22230,4,Broons,CC Loudéac Communauté - Bretagne Centre,742,48.19917,-2.53194,170,31.35
Lescouët-Gouarec,22124,22570,2,Rostrenen,CC du Kreiz-Breizh (CCKB),215,48.16028,-3.24306,227,19.17
le Leslay,22126,22800,4,Plélo,CA Saint-Brieuc Armor Agglomération,154,48.42917,-2.96528,200,5.1
Lézardrieux,22127,22740,3,Tréguier,CA Lannion-Trégor Communauté,1632,48.785,-3.10639,30,12.21
Loc-Envel,22129,22810,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,74,48.51472,-3.40722,140,3.41
Locarn,22128,22340,2,Rostrenen,CC du Kreiz-Breizh (CCKB),421,48.31889,-3.42111,170,32.55
Loguivy-Plougras,22131,22780,3,Plestin-les-Grèves,CA Lannion-Trégor Communauté,788,48.52056,-3.48833,160,49.04
Lohuec,22132,22160,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,246,48.46028,-3.52111,240,17.44
Loscouët-sur-Meu,22133,22230,4,Broons,CC Loudéac Communauté - Bretagne Centre,644,48.1775,-2.23917,100,22.28
Louannec,22134,22700,3,Perros-Guirec,CA Lannion-Trégor Communauté,3053,48.79333,-3.41194,60,14.37
Louargat,22135,22540,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,2393,48.565,-3.33889,182,58.51
Loudéac,22136,22600,4,Loudéac,CC Loudéac Communauté - Bretagne Centre,9875,48.17778,-2.75389,155,82.07
Maël-Carhaix,22137,22340,2,Rostrenen,CC du Kreiz-Breizh (CCKB),1455,48.28361,-3.42278,200,37.1
Maël-Pestivien,22138,22160,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,360,48.39361,-3.29611,278,31.87
Magoar,22139,22480,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,75,48.39667,-3.18833,275,7.85
la Malhoure,22140,22640,4,Lamballe-Armor,CA Lamballe Terre et Mer,621,48.39722,-2.49361,120,5.17
Mantallot,22141,22450,3,Bégard,CA Lannion-Trégor Communauté,234,48.70972,-3.29722,78,2.85
Matignon,22143,22550,1,Pléneuf-Val-André,CA Dinan Agglomération,1738,48.59528,-2.28889,70,14.75
la Méaugon,22144,22440,4,Ploufragan,CA Saint-Brieuc Armor Agglomération,1326,48.50083,-2.83667,120,6.75
Mégrit,22145,22270,1,Broons,CA Dinan Agglomération,809,48.37528,-2.24778,90,21.2
Mellionnec,22146,22110,2,Rostrenen,CC du Kreiz-Breizh (CCKB),420,48.17583,-3.29556,240,24.4
Le Mené,22046,22330,4,Plénée-Jugon,CC Loudéac Communauté - Bretagne Centre,6420,48.30222,-2.5175,230,7.01
Merdrignac,22147,22230,4,Broons,CC Loudéac Communauté - Bretagne Centre,3140,48.19305,-2.41222,140,57.51
Mérillac,22148,22230,4,Broons,CC Loudéac Communauté - Bretagne Centre,242,48.25639,-2.39194,145,14.03
Merléac,22149,22460,4,Guerlédan,CC Loudéac Communauté - Bretagne Centre,463,48.2775,-2.89917,240,30.37
le Merzer,22150,22200,2,Guingamp,CC Leff Armor Communauté,974,48.57528,-3.06472,120,12.99
Minihy-Tréguier,22152,22220,3,Tréguier,CA Lannion-Trégor Communauté,1263,48.775,-3.22694,33,12.84
Moncontour,22153,22510,4,Plaintel,CA Lamballe Terre et Mer,742,48.35861,-2.6325,120,0.48
la Motte,22155,22600,4,Guerlédan,CC Loudéac Communauté - Bretagne Centre,2159,48.23472,-2.73056,220,43.51
Les Moulins,22183,22210,4,Loudéac,CC Loudéac Communauté - Bretagne Centre,3751,48.18,-2.59222,150,41.58
Moustéru,22156,22200,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,642,48.51722,-3.23917,230,14.47
le Moustoir,22157,22340,2,Rostrenen,CC Poher Communauté,659,48.26611,-3.50694,130,14.85
Noyal,22160,22400,4,Lamballe-Armor,CA Lamballe Terre et Mer,981,48.44695,-2.48389,76,7.09
Pabu,22161,22200,2,Guingamp,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,2769,48.58805,-3.135,110,7.99
Paimpol,22162,22500,2,Paimpol,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,7266,48.77861,-3.04417,30,24.11
Paule,22163,22340,2,Rostrenen,CC du Kreiz-Breizh (CCKB),674,48.23528,-3.44333,180,38.14
Pédernec,22164,22540,2,Bégard,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,1891,48.5975,-3.26778,130,26.97
Penguily,22165,22510,4,Plénée-Jugon,CA Lamballe Terre et Mer,608,48.37278,-2.49361,145,10.79
Penvénan,22166,22710,3,Tréguier,CA Lannion-Trégor Communauté,2548,48.81139,-3.29528,70,20.42
Perros-Guirec,22168,22700,3,Perros-Guirec,CA Lannion-Trégor Communauté,7260,48.81278,-3.44833,50,14.97
Peumerit-Quintin,22169,22480,2,Rostrenen,CC du Kreiz-Breizh (CCKB),184,48.36,-3.27222,250,14.9
Plaine-Haute,22170,22800,4,Plélo,CA Saint-Brieuc Armor Agglomération,1705,48.445,-2.85361,190,15.87
Plaintel,22171,22940,4,Plaintel,CA Saint-Brieuc Armor Agglomération,4571,48.40694,-2.81611,200,27.52
Plancoët,22172,22130,1,Plancoët,CA Dinan Agglomération,3095,48.52333,-2.23361,10,11.57
Pléboulle,22174,22550,1,Pléneuf-Val-André,CA Dinan Agglomération,716,48.60917,-2.33667,40,14.24
Plédéliac,22175,22270,4,Plénée-Jugon,CA Lamballe Terre et Mer,1602,48.44861,-2.385,90,52.77
Plédran,22176,22960,4,Ploufragan,CA Saint-Brieuc Armor Agglomération,6909,48.44417,-2.74639,150,34.71
Pléguien,22177,22290,2,Plouha,CC Leff Armor Communauté,1440,48.63417,-2.93861,71,15.69
Pléhédel,22178,22290,2,Paimpol,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,1317,48.69528,-3.00722,100,12.72
Plélan-le-Petit,22180,22980,1,Plancoët,CA Dinan Agglomération,1947,48.43417,-2.21667,93,21.93
Plélauff,22181,22570,2,Rostrenen,CC du Kreiz-Breizh (CCKB),687,48.20667,-3.20917,150,25.95
Plélo,22182,22170,2,Plélo,CC Leff Armor Communauté,3283,48.55583,-2.94583,110,44.43
Plémy,22184,22150,4,Plaintel,CA Lamballe Terre et Mer,1583,48.33583,-2.68139,235,40.04
Plénée-Jugon,22185,22640,4,Plénée-Jugon,CA Lamballe Terre et Mer,2533,48.36472,-2.39778,70,62.47
Pléneuf-Val-André,22186,22370,4,Pléneuf-Val-André,CA Lamballe Terre et Mer,4094,48.58528,-2.53972,50,17.01
Plérin,22187,22190,4,Plérin,CA Saint-Brieuc Armor Agglomération,14527,48.53528,-2.76611,113,27.77
Plerneuf,22188,22170,2,Plélo,CC Leff Armor Communauté,1119,48.51472,-2.88417,170,8.5
Plésidy,22189,22720,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,562,48.44778,-3.12167,200,26.25
Pleslin-Trigavou,22190,22490,1,Pleslin-Trigavou,CA Dinan Agglomération,4043,48.53417,-2.05583,72,21.98
Plestan,22193,22640,4,Plénée-Jugon,CA Lamballe Terre et Mer,1637,48.42222,-2.44583,96,33.44
Plestin-les-Grèves,22194,22310,3,Plestin-les-Grèves,CA Lannion-Trégor Communauté,3649,48.65639,-3.62944,40,34.52
Pleubian,22195,22610,3,Tréguier,CA Lannion-Trégor Communauté,2334,48.84028,-3.13639,40,20.26
Pleudaniel,22196,22740,3,Tréguier,CA Lannion-Trégor Communauté,925,48.76778,-3.14,48,18.82
Pleudihen-sur-Rance,22197,22690,1,Lanvallay,CA Dinan Agglomération,2974,48.51056,-1.95028,50,24.98
Pleumeur-Bodou,22198,22560,3,Perros-Guirec,CA Lannion-Trégor Communauté,3828,48.77333,-3.51667,90,27.53
Pleumeur-Gautier,22199,22740,3,Tréguier,CA Lannion-Trégor Communauté,1186,48.80305,-3.15833,80,19.37
Plévenon,22201,22240,1,Pléneuf-Val-André,CA Dinan Agglomération,757,48.65429,-2.33205,0,0.0
Plévin,22202,22340,2,Rostrenen,CC Poher Communauté,754,48.22639,-3.50361,201,27.95
Ploëzal,22204,22260,2,Bégard,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,1227,48.71472,-3.20444,75,26.9
Plorec-sur-Arguenon,22205,22130,1,Plancoët,CA Dinan Agglomération,445,48.47972,-2.29583,78,13.84
Plouaret,22207,22420,3,Plestin-les-Grèves,CA Lannion-Trégor Communauté,2230,48.61167,-3.47194,120,30.68
Plouasne,22208,22830,1,Lanvallay,CA Dinan Agglomération,1749,48.30111,-2.00639,60,34.54
Ploubazlanec,22210,22620,2,Paimpol,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,2985,48.79917,-3.03194,60,15.52
Ploubezre,22211,22300,3,Plestin-les-Grèves,CA Lannion-Trégor Communauté,3741,48.70444,-3.44778,89,31.09
Plouëc-du-Trieux,22212,22260,2,Bégard,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,1140,48.675,-3.19028,92,18.63
Plouër-sur-Rance,22213,22490,1,Pleslin-Trigavou,CA Dinan Agglomération,3423,48.52806,-2.00333,50,20.14
Plouézec,22214,22470,2,Paimpol,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,3129,48.74833,-2.98194,100,28.55
Ploufragan,22215,22440,4,Ploufragan,CA Saint-Brieuc Armor Agglomération,11347,48.48972,-2.79778,140,26.4
Plougonver,22216,22810,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,766,48.48417,-3.37972,220,36.45
Plougras,22217,22780,3,Plestin-les-Grèves,CA Lannion-Trégor Communauté,428,48.50972,-3.56222,220,26.95
Plougrescant,22218,22820,3,Tréguier,CA Lannion-Trégor Communauté,1198,48.84472,-3.23,53,16.4
Plouguenast-Langast,22219,22150,4,Guerlédan,CC Loudéac Communauté - Bretagne Centre,2390,48.28194,-2.70278,147,34.99
Plouguernével,22220,22110,2,Rostrenen,CC du Kreiz-Breizh (CCKB),1602,48.23944,-3.25028,210,41.81
Plouguiel,22221,22220,3,Tréguier,CA Lannion-Trégor Communauté,1745,48.79639,-3.2375,60,19.82
Plouha,22222,22580,2,Plouha,CC Leff Armor Communauté,4677,48.675,-2.92694,100,41.34
Plouisy,22223,22200,2,Guingamp,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,2013,48.57833,-3.18333,130,24.04
Ploulec'h,22224,22300,3,Lannion,CA Lannion-Trégor Communauté,1591,48.71806,-3.50278,98,10.21
Ploumagoar,22225,22970,2,Guingamp,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,5418,48.54611,-3.13083,110,32.17
Ploumilliau,22226,22300,3,Plestin-les-Grèves,CA Lannion-Trégor Communauté,2460,48.67944,-3.52333,119,35.07
Plounérin,22227,22780,3,Plestin-les-Grèves,CA Lannion-Trégor Communauté,799,48.56583,-3.54139,200,26.36
Plounévez-Moëdec,22228,22810,3,Plestin-les-Grèves,CA Lannion-Trégor Communauté,1473,48.55611,-3.44389,210,41.14
Plounévez-Quintin,22229,22110,2,Rostrenen,CC du Kreiz-Breizh (CCKB),1057,48.28944,-3.23083,180,43.48
Plourac'h,22231,22160,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,350,48.41528,-3.54722,220,32.57
Plourhan,22232,22410,4,Plouha,CA Saint-Brieuc Armor Agglomération,2137,48.63028,-2.86861,76,17.23
Plourivo,22233,22860,2,Paimpol,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,2267,48.74472,-3.07,70,29.14
Plouvara,22234,22170,2,Plélo,CC Leff Armor Communauté,1149,48.50694,-2.91556,160,23.07
Plouzélambre,22235,22420,3,Plestin-les-Grèves,CA Lannion-Trégor Communauté,202,48.64472,-3.54306,100,7.81
Pludual,22236,22290,2,Plouha,CC Leff Armor Communauté,737,48.66583,-2.98139,60,9.63
Plufur,22238,22310,3,Plestin-les-Grèves,CA Lannion-Trégor Communauté,533,48.60861,-3.575,130,17.48
Plumaudan,22239,22350,1,Broons,CA Dinan Agglomération,1403,48.35833,-2.12444,80,19.14
Plumaugat,22240,22250,1,Broons,CA Dinan Agglomération,1156,48.25611,-2.23583,110,43.83
Plumieux,22241,22210,4,Loudéac,CC Loudéac Communauté - Bretagne Centre,1654,48.10167,-2.58167,137,39.85
Plurien,22242,22240,4,Pléneuf-Val-André,CA Lamballe Terre et Mer,1513,48.62667,-2.40306,45,21.74
Plusquellec,22243,22160,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,557,48.38445,-3.485,165,26.78
Plussulien,22244,22320,4,Guerlédan,CC Loudéac Communauté - Bretagne Centre,507,48.2825,-3.07056,200,22.79
Pluzunet,22245,22140,3,Bégard,CA Lannion-Trégor Communauté,984,48.64139,-3.36917,110,23.54
Plœuc-l'Hermitage,22203,22150,4,Plaintel,CA Saint-Brieuc Armor Agglomération,4117,48.34778,-2.75417,206,45.55
Pommeret,22246,22120,4,Lamballe-Armor,CA Lamballe Terre et Mer,2119,48.46305,-2.62528,69,13.62
Pommerit-le-Vicomte,22248,22200,2,Guingamp,CC Leff Armor Communauté,1842,48.61889,-3.08639,100,33.56
Pont-Melvez,22249,22390,2,Callac,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,600,48.46139,-3.30639,240,23.49
Pontrieux,22250,22260,2,Bégard,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,1004,48.69611,-3.15722,10,1.07
Pordic,22251,22590,4,Plérin,CA Saint-Brieuc Armor Agglomération,7393,48.56972,-2.81917,100,28.91
Prat,22254,22140,3,Bégard,CA Lannion-Trégor Communauté,1090,48.67639,-3.29694,80,22.3
la Prénessaye,22255,22210,4,Loudéac,CC Loudéac Communauté - Bretagne Centre,870,48.18222,-2.63417,109,17.26
Quemper-Guézennec,22256,22260,2,Bégard,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,1089,48.70306,-3.10444,70,23.4
Quemperven,22257,22450,3,Bégard,CA Lannion-Trégor Communauté,416,48.72445,-3.32028,60,7.98
Quessoy,22258,22120,4,Plaintel,CA Lamballe Terre et Mer,3930,48.42111,-2.65639,90,30.21
Quévert,22259,22100,1,Dinan,CA Dinan Agglomération,3963,48.46528,-2.08722,95,12.78
le Quillio,22260,22460,4,Guerlédan,CC Loudéac Communauté - Bretagne Centre,591,48.24167,-2.88,180,16.49
Quintenic,22261,22400,4,Lamballe-Armor,CA Lamballe Terre et Mer,364,48.51639,-2.425,70,7.53
Quintin,22262,22800,4,Plélo,CA Saint-Brieuc Armor Agglomération,2743,48.40445,-2.91139,180,3.15
le Quiou,22263,22630,1,Lanvallay,CA Dinan Agglomération,355,48.35194,-2.00583,30,5.25
Rospez,22265,22300,3,Lannion,CA Lannion-Trégor Communauté,1790,48.72833,-3.38389,80,13.43
