Nom,Insee,cp,arr,Canton,epci,pop,lat,long,alti,surf
la Grée-Saint-Laurent,56068,56120,2,Ploërmel,Ploërmel Communauté,310,47.99361,-2.49583,92,7.86
Groix,56069,56590,1,Lorient-2,CA Lorient Agglomération,2308,47.63972,-3.45361,30,15.38
Guégon,56070,56120,2,Ploërmel,Ploërmel Communauté,2308,47.93722,-2.5625,90,53.59
Guéhenno,56071,56420,2,Moréac,CC Centre Morbihan Communauté,804,47.89305,-2.63583,110,23.34
Gueltas,56072,56920,2,Pontivy,CC Pontivy Communauté,532,48.09528,-2.79417,110,20.81
Guémené-sur-Scorff,56073,56160,2,Gourin,CC Roi Morvan Communauté,1136,48.06778,-3.20583,137,1.18
Guénin,56074,56150,2,Pontivy,CC Baud Communauté,1895,47.90722,-2.97833,63,28.9
Guer,56075,56380,3,Guer,CC de l'Oust à Brocéliande,6056,47.90333,-2.12056,40,52.09
Guern,56076,56310,2,Pontivy,CC Pontivy Communauté,1379,48.03111,-3.08778,150,47.0
le Guerno,56077,56190,3,Muzillac,CC Arc Sud Bretagne,975,47.58417,-2.40583,71,9.88
Guidel,56078,56520,1,Guidel,CA Lorient Agglomération,12236,47.79028,-3.48861,38,52.41
Guillac,56079,56800,2,Ploërmel,Ploërmel Communauté,1402,47.91083,-2.46333,50,22.05
Guilliers,56080,56490,2,Ploërmel,Ploërmel Communauté,1352,48.04306,-2.40139,86,35.06
Guiscriff,56081,56560,2,Gourin,CC Roi Morvan Communauté,2053,48.05111,-3.64333,197,84.33
Helléan,56082,56120,2,Ploërmel,Ploërmel Communauté,384,47.97194,-2.47361,50,7.95
Hennebont,56083,56700,1,Hennebont,CA Lorient Agglomération,15831,47.80389,-3.27583,33,18.82
le Hézo,56084,56450,3,Séné,CA Golfe du Morbihan - Vannes Agglomération,898,47.58583,-2.70306,6,5.48
Hœdic,56085,56170,1,Quiberon,CC Auray Quiberon Terre Atlantique,103,47.33722,-2.87583,14,2.39
